id,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason,person_plural_gold,person_plural_gold_reason
721195362,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Scientist_dilutes_and_transfers_samples_to_a_qPCR_plate.jpg/220px-Scientist_dilutes_and_transfers_samples_to_a_qPCR_plate.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721195363,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Advokat%2C_Fransk_advokatdr%C3%A4kt%2C_Nordisk_familjebok.png/220px-Advokat%2C_Fransk_advokatdr%C3%A4kt%2C_Nordisk_familjebok.png,One Person,,,,Male,,,
721195364,http://upload.wikimedia.org/wikipedia/it/thumb/e/e5/Vittoriocramer2.jpg/220px-Vittoriocramer2.jpg,One Person,,,,Male,,,
721195365,http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Photographer_in_Calgary.jpg/310px-Photographer_in_Calgary.jpg,"One Person
Several Persons, *but one* person's depiction is dominant",,"Male
I'm not sure",,"Male
I'm not sure",,,
721195467,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Photographer1850s.png/220px-Photographer1850s.png,One Person,,,,Male,,,
721195468,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Prawo_wykonywania_zawodu_aptekarza.jpg/300px-Prawo_wykonywania_zawodu_aptekarza.jpg,No Person,,,,,,,
721195469,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/ApotekerHjorten.jpg/250px-ApotekerHjorten.jpg,One Person,,,,"Male
I'm not sure",,,
721195495,http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Vetlogo.svg/140px-Vetlogo.svg.png,No Person,,,,,,,
721195571,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Veterinary_Surgeon.jpg/220px-Veterinary_Surgeon.jpg,One Person,,,,Male,,,
721195572,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Stamp_Ana_N%C3%A9ri.jpg/102px-Stamp_Ana_N%C3%A9ri.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721195574,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Ambulance_NYC.jpg/220px-Ambulance_NYC.jpg,No Person,,,,,,,
721195620,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Firefighting_exercise.jpg/200px-Firefighting_exercise.jpg,"Several Persons, *no single* person's depiction is dominant",,,,,,"Only female
Only male
Mixed, but predominantly male persons
Mixed, but predominantly female persons
I'm not sure",
721195676,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Pce_Wik_SDC16512.JPG/220px-Pce_Wik_SDC16512.JPG,No Person,,,,,,,
721195677,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Police_Poland_2_AB.jpg/170px-Police_Poland_2_AB.jpg,One Person,,,,Male,,,
721195678,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Detektiv.jpg/200px-Detektiv.jpg,One Person,,,,"Male
I'm not sure",,,
721195779,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/G4S_v%C3%A4ktare_med_hund.jpeg/220px-G4S_v%C3%A4ktare_med_hund.jpeg,One Person,,,,"Female
Male
I'm not sure",,,
721195780,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Sushi_chef_Masayoshi_Kazato_02.JPG/120px-Sushi_chef_Masayoshi_Kazato_02.JPG,One Person,,,,"Male
I'm not sure",,,
721195781,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bundesarchiv_Bild_183-82264-0010%2C_Wismar%2C_MS_Fritz_Heckert%2C_%C3%9Cbergabe.jpg/220px-Bundesarchiv_Bild_183-82264-0010%2C_Wismar%2C_MS_Fritz_Heckert%2C_%C3%9Cbergabe.jpg,"Several Persons, *but one* person's depiction is dominant
Several Persons, *no single* person's depiction is dominant",,"Female
Male",,,,Mixed (equal amount of male and female persons),
721195882,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Babiere.jpg/200px-Babiere.jpg,No Person,,,,,,,
721195884,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Beato_courier_or_postman.jpg/250px-Beato_courier_or_postman.jpg,One Person,,,,"Male
I'm not sure",,,
721195931,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Khati_or_Tarkhan%2C_carpenter_caste_of_the_Panjab_-_Tashrih_al-aqvam_%281825%29%2C_f.287v_-_BL_Add._27255.jpg/220px-Khati_or_Tarkhan%2C_carpenter_caste_of_the_Panjab_-_Tashrih_al-aqvam_%281825%29%2C_f.287v_-_BL_Add._27255.jpg,One Person,,,,"Male
I'm not sure",,,
721195987,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/DBP_1987_1315_Jugend_Installateur.jpg/220px-DBP_1987_1315_Jugend_Installateur.jpg,"No Person
One Person
Several Persons, *but one* person's depiction is dominant
I'm not sure",,"Male
I'm not sure",,"Male
I'm not sure",,,
721195988,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Plumber_at_work.jpg/280px-Plumber_at_work.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721196082,http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Bundesarchiv_Bild_183-17201-0016%2C_Berlin%2C_Bau_Karl-Marx-Allee%2C_Block_S%C3%BCdost%2C_Badezimmer.jpg/220px-Bundesarchiv_Bild_183-17201-0016%2C_Berlin%2C_Bau_Karl-Marx-Allee%2C_Block_S%C3%BCdost%2C_Badezimmer.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721196090,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bakermiddleages.jpg/200px-Bakermiddleages.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721196091,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Syrian_butcher_in_Aleppo1.JPG/200px-Syrian_butcher_in_Aleppo1.JPG,"One Person
Several Persons, *but one* person's depiction is dominant",,Male,,Male,,,
721196192,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Dreher_an_einer_Drehbank.jpg/220px-Dreher_an_einer_Drehbank.jpg,One Person,,,,"Male
I'm not sure",,,
721196193,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Basket_and_crew.jpg/220px-Basket_and_crew.jpg,"Several Persons, *no single* person's depiction is dominant",,,,,,Only male,
721196217,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Guimbal_Cabri_G2_1006_cockpit.jpg/220px-Guimbal_Cabri_G2_1006_cockpit.jpg,No Person,,,,,,,
721196296,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stewardess%2C_circa_1949-50%2C_American_Overseas%2C_Flaghip_Denmark%2C_Boeing_377_Stratocruiser.jpg/220px-Stewardess%2C_circa_1949-50%2C_American_Overseas%2C_Flaghip_Denmark%2C_Boeing_377_Stratocruiser.jpg,One Person,,,,Female,,,
721196345,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Egypt_air_Flyght_attendant_during_flight.jpg/220px-Egypt_air_Flyght_attendant_during_flight.jpg,"One Person
Several Persons, *but one* person's depiction is dominant",,Female,,Female,,,
721196398,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Volvo_and_STAS_trailer.JPG/240px-Volvo_and_STAS_trailer.JPG,"No Person
I'm not sure",,,,,,,
721196400,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Truckdriver.jpg/250px-Truckdriver.jpg,One Person,,,,Male,,,
721196501,http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Eboueurs_20100508_Aix-en-Provence_1.jpg/220px-Eboueurs_20100508_Aix-en-Provence_1.jpg,"Several Persons, *no single* person's depiction is dominant",,,,,,"Only male
Mixed, but predominantly male persons
I'm not sure",
721196502,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Human_waste_collector.jpg/220px-Human_waste_collector.jpg,One Person,,,,"Male
I'm not sure",,,