	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Kunstkritiker	34	6	40	0.85	50.5608415413	Kunstkritiker	male	male	female	71678.0	0.15	36241.0	35437.0
Kunstschmied	12	2	14	0.857142857143	14.0532544379	Kunstschmied	male	male	male	676.0	0.142857142857	95.0000000002	581.0
Kupferschmied	3	0	3	1.0	3.29425467804	Kupferschmied	male	male	male	39493.0	0.0	1301.0	38192.0
Kupferstecher	57	1	58	0.98275862069	48.7741935484	Kupferstecher	male	male	male	775.0	0.0172413793103	378.0	397.0
Kutscher	1	0	1	1.0	15.3005464481	Kutscher	male	male	male	366.0	0.0	56.0	310.0
Küchenchef	1	0	1	1.0	18.02864773	Küchenchef	male	male	male	20595.0	0.0	3712.99999999	16882.0
Künstler	18	1	19	0.947368421053	54.5947166403	Künstler	male	male	female	4429.0	0.0526315789474	2418.0	2011.0
Küper	2	0	2	1.0	14.3576367827	Küper	male	male	male	16486.0	0.0	2367.0	14119.0
Kürschner	15	4	19	0.789473684211	65.6862745098	Kürschner	male	male	female	306.0	0.210526315789	201.0	105.0
Küster	7	1	8	0.875	67.8608515057	Küster	male	male	female	15408.0	0.125	10456.0	4952.0
Lagerhalter	0	1	1	0.0	24.9768310941	Lagerhalter	male	male	male	1265705.0	1.0	316133.0	949572.0
Landarbeiter	17	4	21	0.809523809524	21.5765899789	Landarbeiter	male	male	male	124357.0	0.190476190476	26832.0000001	97524.9999999
Landschaftsarchitekt	3	0	3	1.0	13.8494826824	Landschaftsarchitekt	male	male	male	65627.0	0.0	9088.99999998	56538.0
Landwirt	37	1	38	0.973684210526	21.5765899789	Landwirt	male	male	male	124357.0	0.0263157894737	26832.0000001	97524.9999999
Lebensmittelchemiker	1	0	1	1.0	45.3470549595	Lebensmittelchemiker	male	male	male	4567.0	0.0	2071.0	2496.0
Lehrer	21	3	24	0.875	70.4238331399	Lehrer	male	male	female	142155.0	0.125	100111.0	42044.0
Lehrrettungsassistent	3	0	3	1.0	63.6176386302	Lehrrettungsassistent	male	male	female	55832.0	0.0	35519.0	20313.0
Leuchtröhrenglasbläser	1	0	1	1.0	26.8707482993	Leuchtröhrenglasbläser	male	male	male	294.0	0.0	78.9999999999	215.0
Lichtgestalter	5	3	8	0.625	12.5905136121	Lichtgestalter	male	male	male	17815.0	0.375	2243.0	15572.0
Liedermacher	86	9	95	0.905263157895	48.1166205576	Liedermacher	male	male	male	4699.0	0.0947368421053	2261.0	2438.0
Listbroker	1	0	1	1.0	60.5296610169	Listbroker	male	male	female	9440.0	0.0	5714.0	3726.0
Literat	7	0	7	1.0	47.7832512315	Literat	male	male	male	812.0	0.0	388.0	424.0
Literaturagent	4	1	5	0.8	60.5296610169	Literaturagent	male	male	female	9440.0	0.2	5714.0	3726.0
Lotse	3	0	3	1.0	6.25990491284	Lotse	male	male	male	1262.0	0.0	79.0	1183.0
Magd	0	1	1	0.0	21.5765899789	Magd	neutral	female	male	124357.0	1.0	26832.0000001	97524.9999999
Makler	1	0	1	1.0	39.2475851551	Makler	male	male	male	1967.0	0.0	772.000000001	1195.0
Maler und Lackierer	4	0	4	1.0	5.53319493285	Maler und Lackierer	male	male	male	141618.0	0.0	7836.0	133782.0
Mannequin	5	0	5	1.0	88.7755102041	Mannequin	neutral	female	female	98.0	0.0	87.0	11.0
Maschinenzusammensetzer	1	0	1	1.0	21.0325537037	Maschinenzusammensetzer	male	male	male	171962.0	0.0	36168.0	135794.0
Maskenbildner	2	0	2	1.0	90.6659674882	Maskenbildner	male	male	female	1907.0	0.0	1729.0	178.0
Mathematiker	2	1	3	0.666666666667	34.0704906704	Mathematiker	male	male	male	2894.0	0.333333333333	986.000000001	1908.0
Mathematisch-Technischer Assistent	2	0	2	1.0	12.3967931919	Mathematisch-Technischer Assistent	male	male	male	141948.0	0.0	17597.0	124351.0
Maurer	5	0	5	1.0	0.209680237638	Maurer	male	male	male	97291.0	0.0	204.0	97087.0
Maßschneider	0	1	1	0.0	84.4050647718	Maßschneider	male	male	female	34197.0	1.0	28864.0	5332.99999999
Mediaberater	0	1	1	0.0	54.6682417799	Mediaberater	male	male	female	152370.0	1.0	83298.0	69072.0
Medienkaufmann Digital und Print	5	0	5	1.0	65.0971858153	Medienkaufmann Digital und Print	male	male	female	20219.0	0.0	13162.0	7057.0
Medientechnik	2	0	2	1.0	11.4381605553	Medientechnik	neutral	neutral	male	191884.0	0.0	21947.9999999	169936.0
Medizinisch-technischer Assistent	1	1	2	0.5	78.6312445856	Medizinisch-technischer Assistent	male	male	female	3463.0	0.5	2723.0	740.000000001
Messebau	4	2	6	0.666666666667	2.72014753343	Messebau	neutral	neutral	male	23859.0	0.333333333333	649.000000001	23210.0
Messerschmied	2	0	2	1.0	3.10172465159	Messerschmied	male	male	male	90627.0	0.0	2811.0	87816.0
Metallblasinstrumentenmacher	18	2	20	0.9	16.6666666667	Metallblasinstrumentenmacher	male	male	male	342.0	0.1	57.0000000001	285.0
Missionar	90	1	91	0.989010989011	67.8608515057	Missionar	male	male	female	15408.0	0.010989010989	10456.0	4952.0
Mitarbeiter	2	0	2	1.0	34.1969853683	Mitarbeiter	male	male	male	462146.0	0.0	158040.0	304106.0
Model	39	78	117	0.333333333333	88.7755102041	Model	neutral	neutral	female	98.0	0.666666666667	87.0	11.0
Moderator (Beruf)	10	3	13	0.769230769231	48.0295566502	Moderator (Beruf)	male	male	male	406.0	0.230769230769	195.0	211.0
Modist	1	5	6	0.166666666667	84.4050647718	Modist	male	male	female	34197.0	0.833333333333	28864.0	5332.99999999
Musikalienhändler	1	1	2	0.5	33.5901386749	Musikalienhändler	male	male	male	649.0	0.5	218.0	431.0
Musiker	8	0	8	1.0	37.9399437331	Musiker	male	male	male	17417.0	0.0	6607.99999999	10809.0
Musikfachhändler	0	1	1	0.0	33.5901386749	Musikfachhändler	male	male	male	649.0	1.0	218.0	431.0
Mönchtum	36	1	37	0.972972972973	62.5711035267	Mönchtum	neutral	neutral	female	879.0	0.027027027027	550.0	329.0
Mühlenbauer	12	0	12	1.0	3.68870499164	Mühlenbauer	male	male	male	22718.0	0.0	838.000000001	21880.0
Müller	14	0	14	1.0	3.44827586207	Müller	male	male	male	3248.0	0.0	112.0	3136.0
Nonne	3	1	4	0.75	62.5711035267	Nonne	neutral	female	female	879.0	0.25	550.0	329.0
Notar	22	1	23	0.95652173913	48.031496063	Notar	male	male	male	2794.0	0.0434782608696	1342.0	1452.0
Notenstecher	1	0	1	1.0	50.1462693284	Notenstecher	male	male	female	62214.0	0.0	31198.0	31016.0
Notfallsanitäter	1	0	1	1.0	21.3708058503	Notfallsanitäter	male	male	male	52305.0	0.0	11178.0	41127.0
Offizier	13	0	13	1.0	43.2896890344	Offizier	male	male	male	2444.0	0.0	1058.0	1386.0
Online-Redakteur	2	1	3	0.666666666667	50.5608415413	Online-Redakteur	male	male	female	71678.0	0.333333333333	36241.0	35437.0
Operationstechnischer Assistent	3	1	4	0.75	77.7285201604	Operationstechnischer Assistent	male	male	female	9474.0	0.25	7364.0	2110.0
Ordensschwester	2	0	2	1.0	62.5711035267	Ordensschwester	neutral	female	female	879.0	0.0	550.0	329.0
Orgelbauer	6	0	6	1.0	9.93690851735	Orgelbauer	male	male	male	634.0	0.0	63.0	571.0
Orientalist	137	6	143	0.958041958042	53.3333333333	Orientalist	male	male	female	15.0	0.041958041958	8.0	7.0
Orthoptist	4	1	5	0.8	95.4093343535	Orthoptist	male	male	female	1307.0	0.2	1247.0	59.9999999998
Pantomime	71	10	81	0.876543209877	41.5165165165	Pantomime	male	male	male	1332.0	0.123456790123	553.0	779.0
Pastoralreferent	11	1	12	0.916666666667	30.0088759784	Pastoralreferent	male	male	male	12393.0	0.0833333333333	3719.0	8674.0
Patentanwalt (Deutschland)	1	1	2	0.5	46.2251399884	Patentanwalt (Deutschland)	male	male	male	31074.0	0.5	14364.0	16710.0
Personaldienstleistungskaufmann	2	0	2	1.0	66.3964145433	Personaldienstleistungskaufmann	male	male	female	99290.0	0.0	65925.0	33365.0
Personaldisponent	0	1	1	0.0	66.3964145433	Personaldisponent	male	male	female	99290.0	1.0	65925.0	33365.0
Pfarrer	21	1	22	0.954545454545	30.0088759784	Pfarrer	male	male	male	12393.0	0.0454545454545	3719.0	8674.0
Pferdewirt	3	1	4	0.75	60.9494015234	Pferdewirt	male	male	female	7352.0	0.25	4481.0	2871.0
Pflasterer	5	0	5	1.0	0.528109028961	Pflasterer	male	male	male	5870.0	0.0	31.0	5839.0
Pflegedienstleitung	5	5	10	0.5	78.3566481054	Pflegedienstleitung	neutral	neutral	female	36815.0	0.5	28847.0	7968.0
Philosoph	31	4	35	0.885714285714	54.4837441944	Philosoph	male	male	female	2799.0	0.114285714286	1525.0	1274.0
Physiker	10	0	10	1.0	16.2575709276	Physiker	male	male	male	9411.0	0.0	1530.0	7881.0
Physiotherapeut	2	0	2	1.0	77.4982405505	Physiotherapeut	male	male	female	140669.0	0.0	109016.0	31653.0
Pilot	2	0	2	1.0	6.46539170954	Pilot	male	male	male	10301.0	0.0	666.0	9635.0
Polier	1	0	1	1.0	1.0979692033	Polier	male	male	male	22405.0	0.0	245.999999999	22159.0
Politesse	2	0	2	1.0	37.7005047672	Politesse	neutral	female	male	8915.0	0.0	3361.0	5554.0
Polizeivollzugsbeamter	8	0	8	1.0	52.8379772962	Polizeivollzugsbeamter	male	male	female	1938.0	0.0	1024.0	914.0
Portier	1	0	1	1.0	79.2351889413	Portier	male	male	female	141499.0	0.0	112117.0	29381.9999999
Porzellanmaler	35	1	36	0.972222222222	75.4844144903	Porzellanmaler	male	male	female	1187.0	0.0277777777778	896.0	291.0
Postjungbote	8	1	9	0.888888888889	47.8940392206	Postjungbote	male	male	male	205963.0	0.111111111111	98643.9999999	107319.0
Pressefotograf	1	0	1	1.0	64.1671278362	Pressefotograf	male	male	female	7228.0	0.0	4638.0	2590.0
Pressesprecher	6	2	8	0.75	65.267451247	Pressesprecher	male	male	female	23537.0	0.25	15362.0	8174.99999999
Prior	4	3	7	0.571428571429	62.5711035267	Prior	male	male	female	879.0	0.428571428571	550.0	329.0
Privatdozent	11	0	11	1.0	42.812488391	Privatdozent	male	male	male	188431.0	0.0	80672.0	107759.0
Produktionstechnologe	1	0	1	1.0	15.718731148	Produktionstechnologe	male	male	male	230413.0	0.0	36218.0	194195.0
Professor	43	47	90	0.477777777778	42.812488391	Professor	male	male	male	188431.0	0.522222222222	80672.0	107759.0
Projektleiter	10	3	13	0.769230769231	25.9924816691	Projektleiter	male	male	male	451696.0	0.230769230769	117407.0	334289.0
Präparator	3	0	3	1.0	51.5706806283	Präparator	male	male	female	1146.0	0.0	591.0	555.0
Psychoanalytiker	2	0	2	1.0	78.1458251666	Psychoanalytiker	male	male	female	5102.0	0.0	3987.0	1115.0
Psychologe	4	3	7	0.571428571429	77.9567882775	Psychologe	male	male	female	26752.0	0.428571428571	20855.0	5897.0
Psychologischer Psychotherapeut	2	0	2	1.0	78.1458251666	Psychologischer Psychotherapeut	male	male	female	5102.0	0.0	3987.0	1115.0
Pyrotechniker	2	0	2	1.0	5.76271186441	Pyrotechniker	male	male	male	295.0	0.0	17.0	278.0
Rabbiner	25	15	40	0.625	30.0088759784	Rabbiner	male	male	male	12393.0	0.375	3719.0	8674.0
Rauchwarenzurichter	3	0	3	1.0	65.6862745098	Rauchwarenzurichter	male	male	female	306.0	0.0	201.0	105.0
Raumausstatter	3	0	3	1.0	40.0455860437	Raumausstatter	male	male	male	11407.0	0.0	4568.0	6839.0
Reaktorfahrer	1	0	1	1.0	6.16331126919	Reaktorfahrer	male	male	male	36409.0	0.0	2244.0	34165.0
Rechtsanwalt	23	4	27	0.851851851852	46.2251399884	Rechtsanwalt	male	male	male	31074.0	0.148148148148	14364.0	16710.0
Rechtsanwaltsfachangestellter	7	3	10	0.7	94.3062952197	Rechtsanwaltsfachangestellter	male	male	female	94262.0	0.3	88895.0	5367.00000001
Rechtspfleger	9	0	9	1.0	93.3804860355	Rechtspfleger	male	male	female	16542.0	0.0	15447.0	1095.00000001
Redakteur	5	3	8	0.625	50.5608415413	Redakteur	male	male	female	71678.0	0.375	36241.0	35437.0
Redenschreiber	25	4	29	0.862068965517	47.7832512315	Redenschreiber	male	male	male	812.0	0.137931034483	388.0	424.0
Referent	1	0	1	1.0	46.213592233	Referent	male	male	male	3090.0	0.0	1428.0	1662.0
Regieassistent	2	0	2	1.0	50.9119332986	Regieassistent	male	male	female	1919.0	0.0	977.0	942.0
Registrator	1	0	1	1.0	67.26062468	Registrator	male	male	female	9765.0	0.0	6568.0	3197.0
Reiseleiter	2	0	2	1.0	58.0346820809	Reiseleiter	male	male	female	1730.0	0.0	1004.0	726.0
Rektor	1	0	1	1.0	29.7738693467	Rektor	male	male	male	796.0	0.0	237.0	559.0
Reporter	3	0	3	1.0	50.5608415413	Reporter	male	male	female	71678.0	0.0	36241.0	35437.0
Restaurator	5	2	7	0.714285714286	2.2858399983	Restaurator	male	male	male	281822.0	0.285714285714	6442.00000001	275380.0
Rettungsassistent	7	1	8	0.875	21.3708058503	Rettungsassistent	male	male	male	52305.0	0.125	11178.0	41127.0
Rettungshelfer	5	1	6	0.833333333333	21.3708058503	Rettungshelfer	male	male	male	52305.0	0.166666666667	11178.0	41127.0
Rettungssanitäter	8	2	10	0.8	21.3708058503	Rettungssanitäter	male	male	male	52305.0	0.2	11178.0	41127.0
Rettungsschwimmer	1	0	1	1.0	39.2836746349	Rettungsschwimmer	male	male	male	12257.0	0.0	4815.0	7442.0
Richter	10	0	10	1.0	38.4615384615	Richter	male	male	male	39.0	0.0	15.0	24.0
Saaldiener	3	0	3	1.0	58.3260838046	Saaldiener	male	male	female	27588.0	0.0	16091.0	11497.0
Sachverständiger	10	1	11	0.909090909091		Sachverständiger	male	male			0.0909090909091		
Schauspieler	29	8	37	0.783783783784	44.0665569574	Schauspieler	male	male	male	5469.0	0.216216216216	2410.0	3059.0
Schausteller	13	2	15	0.866666666667	18.8318693173	Schausteller	male	male	male	6489.0	0.133333333333	1222.0	5267.0
Scherer	46	14	60	0.766666666667	20.9806780897	Scherer	male	male	male	5486.0	0.233333333333	1151.0	4335.0
Schiffbauingenieur	8	0	8	1.0	6.19822907741	Schiffbauingenieur	male	male	male	3501.0	0.0	217.0	3284.0
Schiffsingenieur	2	0	2	1.0	3.8146208153	Schiffsingenieur	male	male	male	8782.0	0.0	335.0	8447.0
Schilder- und Lichtreklamehersteller	1	0	1	1.0	34.2415730337	Schilder- und Lichtreklamehersteller	male	male	male	3560.0	0.0	1219.0	2341.0
Schirmmacher	3	2	5	0.6	54.8604292327	Schirmmacher	male	male	female	7129.0	0.4	3911.0	3218.0
Schmied	14	0	14	1.0	2.2858399983	Schmied	male	male	male	281822.0	0.0	6442.00000001	275380.0
Schneider	4	1	5	0.8	84.4050647718	Schneider	male	male	female	34197.0	0.2	28864.0	5332.99999999
Schneidwerkzeugmechaniker	1	0	1	1.0	3.10172465159	Schneidwerkzeugmechaniker	male	male	male	90627.0	0.0	2811.0	87816.0
Schnellzeichner	6	0	6	1.0	48.7741935484	Schnellzeichner	male	male	male	775.0	0.0	378.0	397.0
Schornsteinfeger	3	1	4	0.75	8.08986148295	Schornsteinfeger	male	male	male	8591.0	0.25	695.0	7896.0
Schriftdolmetscher	1	0	1	1.0	69.8481848185	Schriftdolmetscher	male	male	female	7575.0	0.0	5291.0	2284.0
Schriftsetzer	32	0	32	1.0	50.1462693284	Schriftsetzer	male	male	female	62214.0	0.0	31198.0	31016.0
Schriftsteller	38	10	48	0.791666666667	47.7832512315	Schriftsteller	male	male	male	812.0	0.208333333333	388.0	424.0
Schuhfertiger	1	0	1	1.0	37.8797535585	Schuhfertiger	male	male	male	9414.0	0.0	3566.0	5848.0
Schuhmacher	5	0	5	1.0	37.8797535585	Schuhmacher	male	male	male	9414.0	0.0	3566.0	5848.0
Segellehrer	1	0	1	1.0	47.4358974359	Segellehrer	male	male	male	3198.0	0.0	1517.0	1681.0
Segelmacher	1	0	1	1.0	54.8604292327	Segelmacher	male	male	female	7129.0	0.0	3911.0	3218.0
Sekretär	4	6	10	0.4	86.944437789	Sekretär	male	male	female	83474.0	0.6	72576.0	10898.0
Servicefachkraft für Dialogmarketing	3	0	3	1.0	60.0417870759	Servicefachkraft für Dialogmarketing	neutral	neutral	female	147414.0	0.0	88510.0000001	58903.9999999
Sicherheitsbeauftragter	1	0	1	1.0	13.1710869017	Sicherheitsbeauftragter	male	male	male	35707.0	0.0	4702.99999999	31004.0
Social-Media-Manager	7	3	10	0.7	54.6682417799	Social-Media-Manager	male	male	female	152370.0	0.3	83298.0	69072.0
Softwareentwickler	3	0	3	1.0	12.3967931919	Softwareentwickler	male	male	male	141948.0	0.0	17597.0	124351.0
Soldat	13	1	14	0.928571428571	43.2896890344	Soldat	male	male	male	2444.0	0.0714285714286	1058.0	1386.0
Sommelier	1	0	1	1.0	64.7840765227	Sommelier	male	male	female	14218.0	0.0	9211.0	5007.0
Sonnenschutztechniker	2	0	2	1.0	2.22108756702	Sonnenschutztechniker	male	male	male	7834.0	0.0	174.0	7660.0
Souffleur	7	2	9	0.777777777778	60.3174603175	Souffleur	male	male	female	945.0	0.222222222222	570.0	375.0
Soziologe	5	0	5	1.0	60.7961399276	Soziologe	male	male	female	2487.0	0.0	1512.0	975.000000001
Sportlehrer	2	0	2	1.0	44.6119065561	Sportlehrer	male	male	male	15924.0	0.0	7103.99999999	8820.00000001
Sprachmittler	2	4	6	0.333333333333	69.8481848185	Sprachmittler	male	male	female	7575.0	0.666666666667	5291.0	2284.0
Staatsanwalt	5	1	6	0.833333333333	75.0484007466	Staatsanwalt	male	male	female	172518.0	0.166666666667	129472.0	43046.0
Stallmeister	20	5	25	0.8	67.2918572736	Stallmeister	male	male	female	2186.0	0.2	1471.0	714.999999999
Stanz- und Umformmechaniker	1	2	3	0.333333333333	12.937104197	Stanz- und Umformmechaniker	male	male	male	25423.0	0.666666666667	3289.0	22134.0
Steinbildhauer	33	2	35	0.942857142857	38.6581469649	Steinbildhauer	male	male	male	313.0	0.0571428571429	121.0	192.0
Steinhauer	5	2	7	0.714285714286	5.44459089527	Steinhauer	male	male	male	9863.0	0.285714285714	537.0	9326.0
Steinmetz	45	7	52	0.865384615385	38.6581469649	Steinmetz	male	male	male	313.0	0.134615384615	121.0	192.0
Steuerberater	5	4	9	0.555555555556	76.2525479477	Steuerberater	male	male	female	172688.0	0.444444444444	131679.0	41009.0000001
Straßenreiniger	1	0	1	1.0	6.25302705321	Straßenreiniger	male	male	male	57812.0	0.0	3615.0	54197.0
Straßenwärter	1	0	1	1.0	2.21180663155	Straßenwärter	male	male	male	25816.0	0.0	571.000000001	25245.0
Stuckateur	76	1	77	0.987012987013	0.919488674591	Stuckateur	male	male	male	17836.0	0.012987012987	164.0	17672.0
Stuntman	20	3	23	0.869565217391	41.5165165165	Stuntman	male	male	male	1332.0	0.130434782609	553.0	779.0
Synchronsprecher	17	0	17	1.0	44.0665569574	Synchronsprecher	male	male	male	5469.0	0.0	2410.0	3059.0
Syndikus	6	3	9	0.666666666667	46.2251399884	Syndikus	male	male	male	31074.0	0.333333333333	14364.0	16710.0
Systeminformatiker	1	0	1	1.0	11.4381605553	Systeminformatiker	male	male	male	191884.0	0.0	21947.9999999	169936.0
Sänger	29	3	32	0.90625	48.1166205576	Sänger	male	male	male	4699.0	0.09375	2261.0	2438.0
Süßwarentechnologe	1	1	2	0.5	57.6938758868	Süßwarentechnologe	male	male	female	12263.0	0.5	7075.0	5188.0
Taxi	23	6	29	0.793103448276	13.9629239126	Taxi	neutral	neutral	male	74927.0	0.206896551724	10462.0	64465.0
Teamleiter	3	1	4	0.75	25.9924816691	Teamleiter	male	male	male	451696.0	0.25	117407.0	334289.0
Technischer Redakteur	14	7	21	0.666666666667	50.5608415413	Technischer Redakteur	male	male	female	71678.0	0.333333333333	36241.0	35437.0
Telefonist	2	3	5	0.4	79.4443583916	Telefonist	male	male	female	1969075.0	0.6	1564319.0	404756.000001
Testpilot	35	1	36	0.972222222222	6.46539170954	Testpilot	male	male	male	10301.0	0.0277777777778	666.0	9635.0
Tierheilpraktiker	1	2	3	0.333333333333	73.8573730179	Tierheilpraktiker	male	male	female	11793.0	0.666666666667	8710.0	3083.0
Tischler	53	6	59	0.898305084746	3.90146033877	Tischler	male	male	male	143049.0	0.101694915254	5581.00000001	137468.0
Toningenieur	2	0	2	1.0	26.5236833389	Toningenieur	male	male	male	12076.0	0.0	3203.00000001	8872.99999999
Tonmeister	2	0	2	1.0	26.5236833389	Tonmeister	male	male	male	12076.0	0.0	3203.00000001	8872.99999999
Tontechniker	1	0	1	1.0	26.5236833389	Tontechniker	male	male	male	12076.0	0.0	3203.00000001	8872.99999999
Trainer	3	1	4	0.75		Trainer	male	male			0.25		
Tätowierer	29	10	39	0.74358974359	41.125	Tätowierer	male	male	male	800.0	0.25641025641	329.0	471.0
Uhrmacher	23	0	23	1.0	31.7169069463	Uhrmacher	male	male	male	3052.0	0.0	968.000000001	2084.0
Unternehmensberater	23	3	26	0.884615384615	26.911058483	Unternehmensberater	male	male	male	60804.0	0.115384615385	16363.0	44441.0
Veranstaltungskaufmann	6	0	6	1.0	58.3260838046	Veranstaltungskaufmann	male	male	female	27588.0	0.0	16091.0	11497.0
Vergolder	2	0	2	1.0	12.6353874883	Vergolder	male	male	male	42840.0	0.0	5412.99999999	37427.0
Verlagskaufmann	2	1	3	0.666666666667	65.0971858153	Verlagskaufmann	male	male	female	20219.0	0.333333333333	13162.0	7057.0
Verleger	186	8	194	0.958762886598	34.1969853683	Verleger	male	male	male	462146.0	0.0412371134021	158040.0	304106.0
Verwaltungsfachangestellter	1	0	1	1.0	74.1246797609	Verwaltungsfachangestellter	male	male	female	471913.0	0.0	349804.0	122109.0
Veterinäringenieur	1	0	1	1.0	87.6854599407	Veterinäringenieur	male	male	female	674.0	0.0	591.0	82.9999999997
Videojournalist	13	3	16	0.8125	50.5608415413	Videojournalist	male	male	female	71678.0	0.1875	36241.0	35437.0
Vizepräsident	6	0	6	1.0	29.7738693467	Vizepräsident	male	male	male	796.0	0.0	237.0	559.0
Volkswirt	1	0	1	1.0	45.1293759513	Volkswirt	male	male	male	7884.0	0.0	3558.0	4326.0
Vollziehungsbeamter	4	1	5	0.8	27.2030651341	Vollziehungsbeamter	male	male	male	1305.0	0.2	355.0	950.0
Weber	3	5	8	0.375	34.0723731095	Weber	male	male	male	12629.0	0.625	4303.0	8326.0
Werbetexter	16	2	18	0.888888888889	54.6682417799	Werbetexter	male	male	female	152370.0	0.111111111111	83298.0	69072.0
Winzer	4	0	4	1.0	18.034026465	Winzer	male	male	male	2645.0	0.0	476.999999999	2168.0
Wirtschaftsprüfer	5	1	6	0.833333333333	38.28113879	Wirtschaftsprüfer	male	male	male	28100.0	0.166666666667	10757.0	17343.0
Wissenschaftlicher Mitarbeiter	0	1	1	0.0	42.812488391	Wissenschaftlicher Mitarbeiter	male	male	male	188431.0	1.0	80672.0	107759.0
Wächter	1	0	1	1.0	31.0871031175	Wächter	male	male	male	212059.0	0.0	65922.9999999	146136.0
Yogalehrer	1	0	1	1.0	57.8800147221	Yogalehrer	male	male	female	13585.0	0.0	7863.0	5722.0
Zahlmeister	2	0	2	1.0	31.3624678663	Zahlmeister	male	male	male	389.0	0.0	122.0	267.0
Zahnarzt	15	3	18	0.833333333333	66.0346097202	Zahnarzt	male	male	female	16296.0	0.166666666667	10761.0	5535.0
Zahntechniker	2	0	2	1.0	60.2778057373	Zahntechniker	male	male	female	49675.0	0.0	29943.0	19732.0
Zauberer	52	6	58	0.896551724138	19.2592592593	Zauberer	male	male	male	135.0	0.103448275862	26.0000000001	109.0
Zimmerer	12	0	12	1.0	1.21315420092	Zimmerer	male	male	male	49870.0	0.0	604.999999999	49265.0
Zinngießer	6	1	7	0.857142857143	4.20514511873	Zinngießer	male	male	male	6064.0	0.142857142857	255.0	5809.0
Zoologe	48	4	52	0.923076923077	46.332046332	Zoologe	male	male	male	259.0	0.0769230769231	120.0	139.0
Zootechniker	1	0	1	1.0	43.2111947848	Zootechniker	male	male	male	17794.0	0.0	7689.00000001	10105.0
Zupfinstrumentenmacher	5	0	5	1.0	29.8076923077	Zupfinstrumentenmacher	male	male	male	416.0	0.0	124.0	292.0
Zuschneider	0	1	1	0.0	84.4050647718	Zuschneider	male	male	female	34197.0	1.0	28864.0	5332.99999999
Zusteller	26	2	28	0.928571428571	47.8940392206	Zusteller	male	male	male	205963.0	0.0714285714286	98643.9999999	107319.0
Übersetzer	1	0	1	1.0	69.8481848185	Übersetzer	male	male	female	7575.0	0.0	5291.0	2284.0
