	Berufsgruppen	Frauen	Ingesamt	KldB	Männer	Frauen_ratio
459	Berufe im Controlling	33491.0	75286.0	7223	41795.0	44.4850304173
460	Berufe in Wirtschaftsprüfung	10757.0	28100.0	7224	17343.0	38.28113879
461	Führung-Rechnungsw.,Controlling,Revision	9466.0	25294.0	7229	15828.0	37.4238949949
462	Berufe in der Steuerberatung	131679.0	172688.0	7230	41009.0	76.2525479477
463	Rechtsberatung, -sprechung,-ordnung(oS)	8963.0	16188.0	7310	7225.0	55.368173956
464	Assistenz Rechtsanwaltskanzlei,Notariat	88895.0	94262.0	7311	5367.0	94.3062952197
465	Notare/Notarinnen	1342.0	2794.0	7312	1452.0	48.031496063
466	Rechtsanwälte/-anwältinnen	14364.0	31074.0	7313	16710.0	46.2251399884
468	Richter/innen	15.0	39.0	7315	24.0	38.4615384615
470	Rechtsberatung,-sprechung,-ordnung (ssT)	15548.0	26838.0	7318	11290.0	57.9327818764
471	Führung-Rechtsberatung,sprechung,ordnung	338.0	1309.0	7319	971.0	25.8212375859
472	Berufe i.d. öffentlichen Verwaltung (oS)	349804.0	471913.0	7320	122109.0	74.1246797609
473	Berufe Sozialverwaltung, versicherung	99403.0	129106.0	7321	29703.0	76.9933233157
474	Verwalt. Berufe Sozial-,Gesundheitswesen	72576.0	83474.0	7322	10898.0	86.944437789
475	Berufe in der Steuerverwaltung	1780.0	2321.0	7323	541.0	76.6910814304
476	Berufe im Zolldienst	738.0	1273.0	7324	535.0	57.9732914375
477	Berufe in der Justizverwaltung	15447.0	16542.0	7325	1095.0	93.3804860355
478	Berufe öffentliche Verwaltung (s.s.T.)	30079.0	37867.0	7328	7788.0	79.4332796366
479	Aufsicht und Führung - Verwaltung	6245.0	16740.0	7329	10495.0	37.3058542413
480	Berufe im Archivwesen	6568.0	9765.0	7331	3197.0	67.26062468
481	Berufe im Bibliothekswesen	19416.0	23795.0	7332	4379.0	81.5969741542
482	Berufe Dokumentations,Informationsdienst	6738.0	10768.0	7333	4030.0	62.5742942051
483	Berufe i.d. medizinischen Dokumentation	6563.0	7704.0	7334	1141.0	85.1895119418
484	Führung-Medien-Dokument.-,Informationsd.	1245.0	1598.0	7339	353.0	77.9098873592
485	Medizinische Fachangestellte (o.S.)	373901.0	377540.0	8110	3639.0	99.0361286221
486	Zahnmedizinische Fachangestellte	192400.0	193545.0	8111	1145.0	99.4084063138
487	Podologen/Podologinnen	4104.0	4444.0	8112	340.0	92.3492349235
488	Orthoptisten/Orthoptistinnen	1247.0	1307.0	8113	60.0	95.4093343535
489	Tiermedizinische Fachangestellte	14935.0	16447.0	8114	1512.0	90.8068340731
490	Medizinische Fachangestellte (s.s.T.)	7939.0	10412.0	8118	2473.0	76.2485593546
491	Medizinisch-techn.Berufe im Laboratorium	60736.0	66769.0	8121	6033.0	90.9643696925
492	Medizin-tech. Berufe Funktionsdiagnostik	2723.0	3463.0	8122	740.0	78.6312445856
493	Medizinisch-technische Berufe Radiologie	20125.0	24419.0	8123	4294.0	82.4153323232
494	Medizin.-techn. Berufe Veterinärmedizin	591.0	674.0	8124	83.0	87.6854599407
495	Führung - Medizinisches Laboratorium	356.0	582.0	8129	226.0	61.1683848797
496	Berufe Gesundheits-, Krankenpflege (o.S)	686266.0	807755.0	8130	121489.0	84.9596721778
497	Berufe in der Fachkrankenpflege	57865.0	72393.0	8131	14528.0	79.9317613581
498	Berufe in der Fachkinderkrankenpflege	5028.0	5238.0	8132	210.0	95.990836197
499	Berufe operations-/med.-techn. Assistenz	7364.0	9474.0	8133	2110.0	77.7285201604
500	Berufe im Rettungsdienst	11178.0	52305.0	8134	41127.0	21.3708058503
501	Berufe Geburtshilfe, Entbindungspflege	10184.0	10200.0	8135	16.0	99.8431372549
502	Berufe Gesundheits-, Krankenpflege (ssT)	4895.0	6255.0	8138	1360.0	78.2573940847
503	Aufsicht,Führung-Krankenpfl.,Rettungsd.	28847.0	36815.0	8139	7968.0	78.3566481054
504	Ärzte/Ärztinnen (o. S.)	68047.0	121800.0	8140	53753.0	55.867816092
505	Fachärzte i.d. Kinder- u. Jugendmedizin	3603.0	4721.0	8141	1118.0	76.3185765728
506	Fachärzte/innen in der Inneren Medizin	8269.0	15268.0	8142	6999.0	54.1590254126
507	Fachärzte/innen in der Chirurgie	3899.0	12318.0	8143	8419.0	31.652865725
508	Fachärzte Hautkr.,Sinnes-Geschlechtsorg.	7573.0	11261.0	8144	3688.0	67.2498001954
509	Fachärzte/-ärztinnen Anästhesiologie	5324.0	10239.0	8145	4915.0	51.9972653579
510	Fachärzte Neurol.,Psychiatr.,Psychother.	5905.0	9254.0	8146	3349.0	63.8102442187
511	Zahnärzte/innen, Kieferorthopäden/innen	10761.0	16296.0	8147	5535.0	66.0346097202
512	Ärzte/Ärztinnen (s.s.T.)	6044.0	10548.0	8148	4504.0	57.2999620781
513	Führung - Human- und Zahnmedizin	7866.0	31634.0	8149	23768.0	24.865650882
514	Tierärzte/-ärztinnen (o.S.)	7124.0	9775.0	8150	2651.0	72.8797953964
515	Tierärzte/-ärztinnen f. Groß-, Nutztiere	597.0	891.0	8151	294.0	67.0033670034
516	Tierärzte/ärztinnen für Haus-, Heimtiere	852.0	952.0	8152	100.0	89.4957983193
518	Berufe Tiermedizin, Tierheilkunde (ssT)	78.0	99.0	8158	21.0	78.7878787879
520	Berufe i.d. nicht klinischen Psychologie	1756.0	2408.0	8161	652.0	72.9235880399
521	Berufe in der klinischen Psychologie	20855.0	26752.0	8162	5897.0	77.9567882775
522	Berufe nicht ärztliche Psychotherapie	3987.0	5102.0	8163	1115.0	78.1458251666
523	Berufe in der Physiotherapie	109016.0	140669.0	8171	31653.0	77.4982405505
524	Berufe in der Ergotherapie	38589.0	44673.0	8172	6084.0	86.3810355248
525	Berufe in der Sprachtherapie	14206.0	15104.0	8173	898.0	94.0545550847
526	Berufe in der Musik-, Kunsttherapie	1951.0	2447.0	8174	496.0	79.7302819779
527	Berufe in der Heilkunde und Homöopathie	1875.0	2446.0	8175	571.0	76.6557645135
528	Berufe i.d. Diät- und Ernährungstherapie	7456.0	7761.0	8176	305.0	96.07009406
529	Berufe nichtärztl. Therapie,Heilk.(ssT)	3998.0	5647.0	8178	1649.0	70.7986541526
530	Führung - Nichtärztl. Therapie,Heilkunde	568.0	836.0	8179	268.0	67.9425837321
531	Apotheker, Pharmazeuten	31459.0	37536.0	8180	6077.0	83.8102088662
532	Fachärzte/innen in der Pharmakologie	99.0	192.0	8181	93.0	51.5625
533	Berufe pharmazeutisch-techn. Assistenz	68332.0	70547.0	8182	2215.0	96.8602491956
534	Berufe in der Pharmazie (s.s.T.)	15923.0	27510.0	8188	11587.0	57.8807706289
535	Führung - Pharmazie	1315.0	2232.0	8189	917.0	58.9157706093
536	Berufe in der Altenpflege (o.S.)	427578.0	502504.0	8210	74926.0	85.0894719246
537	Berufe in der Altenpflege (s.s.T.)	5585.0	6702.0	8218	1117.0	83.3333333333
538	Führung - Altenpflege	3101.0	4956.0	8219	1855.0	62.5706214689
539	Berufe in der Gesundheitsberatung	3551.0	4988.0	8221	1437.0	71.1908580593
540	Wellnessberufe	1800.0	2255.0	8222	455.0	79.822616408
541	Berufe in der Ernährungsberatung	1272.0	1381.0	8223	109.0	92.1071687183
542	Qualitätsbeauftragte im Gesundheitswesen	2814.0	3680.0	8224	866.0	76.4673913043
543	Ernährungs,Gesundheitsber.,Wellness(ssT)	1637.0	2053.0	8228	416.0	79.7369702874
544	Berufe im Friseurgewerbe	129514.0	140876.0	8231	11362.0	91.9347511287
545	Berufe in der Kosmetik	20479.0	21228.0	8232	749.0	96.4716412286
546	Tätowierer/innen und Piercer/innen	329.0	800.0	8233	471.0	41.125
547	Berufe in der Maskenbildnerei	1729.0	1907.0	8234	178.0	90.6659674882
548	Aufsicht - Körperpflege	7922.0	9008.0	8239	1086.0	87.9440497336
549	Berufe im Bestattungswesen	2231.0	8496.0	8240	6265.0	26.2594161959
550	Aufsicht und Führung - Bestattungswesen	83.0	295.0	8249	212.0	28.1355932203
551	Medizintechnik (o.S.)	1313.0	7341.0	8250	6028.0	17.8858466149
552	Berufe in der Orthopädie-, Rehatechnik	3100.0	10525.0	8251	7425.0	29.4536817102
553	Berufe in der Augenoptik	26034.0	33922.0	8252	7888.0	76.7466540888
554	Berufe in der Hörgeräteakustik	6018.0	9092.0	8253	3074.0	66.1900571931
555	Berufe in der Zahntechnik	29943.0	49675.0	8254	19732.0	60.2778057373
556	Aufsicht,Führung-Med-Orthopäd,Rehatechn.	5408.0	11096.0	8259	5688.0	48.7382840663
557	Berufe i.d. Kinderbetreuung, -erziehung	666693.0	732486.0	8311	65793.0	91.0178488053
558	Berufe i.d. Sozialarbeit,Sozialpädagogik	208986.0	278813.0	8312	69827.0	74.9556154125
559	Berufe Heilerziehungspflege, Sonderpäd.	115604.0	169235.0	8313	53631.0	68.3097468018
560	Berufe in der Haus- und Familienpflege	37929.0	46808.0	8314	8879.0	81.0310203384
561	Berufe Sozial-,Erziehungs-,Suchtberatung	6997.0	9923.0	8315	2926.0	70.5129497128
562	Aufsicht,Führung-Erziehung,Sozialarbeit	37639.0	46988.0	8319	9349.0	80.1034306631
563	Berufe in der Hauswirtschaft	178826.0	190866.0	8321	12040.0	93.6919095072
564	Berufe in der Verbraucherberatung	919.0	1433.0	8322	514.0	64.1311933008
565	Aufsicht-Hauswirtschaft,Verbraucherber.	11635.0	12310.0	8329	675.0	94.5166531275
566	Berufe in der Theologie	3719.0	12393.0	8331	8674.0	30.0088759784
567	Berufe in der Gemeindearbeit	6039.0	10303.0	8332	4264.0	58.6139959235
568	Angehörige geistl. Orden, Mutterhäuser	550.0	879.0	8333	329.0	62.5711035267
569	Berufe in Theologie,Gemeindearbeit (ssT)	10456.0	15408.0	8338	4952.0	67.8608515057
570	Führung - Theologie und Gemeindearbeit	57.0	231.0	8339	174.0	24.6753246753
571	Lehrkräfte in der Primarstufe	25159.0	29025.0	8411	3866.0	86.6804478898
572	Lehrkräfte in der Sekundarstufe	100111.0	142155.0	8412	42044.0	70.4238331399
573	Lehrkräfte an Sonderschulen	10627.0	13944.0	8413	3317.0	76.2119908204
574	Berufe in der Lehrerausbildung	1113.0	1579.0	8414	466.0	70.4876504117
575	Lehrkräfte allgemeinbild. Schulen (ssT)	7789.0	10374.0	8418	2585.0	75.0819356083
576	Führung - Allgemeinbildende Schulen	1282.0	2035.0	8419	753.0	62.9975429975
577	Lehrkräfte für berufsbildende Fächer	35519.0	55832.0	8421	20313.0	63.6176386302
578	Berufe betriebl. Ausbildung, Berufspäd.	11620.0	34462.0	8422	22842.0	33.7182984156
579	Führung - BBS, betriebl.Ausb., Betr.päd.	1455.0	3463.0	8429	2008.0	42.0155934161
580	Berufe i. d. Hochschullehre, -forschung	80672.0	188431.0	8430	107759.0	42.812488391
581	Führung - Hochschullehre und -forschung	237.0	796.0	8439	559.0	29.7738693467
582	Berufe in der Erwachsenenbildung (o.S.)	17017.0	32899.0	8440	15882.0	51.7249764431
583	Berufe in der Musikpädagogik	9713.0	17510.0	8441	7797.0	55.4711593375
584	Berufe in der Religionspädagogik	3557.0	4580.0	8442	1023.0	77.6637554585
585	Berufe in der Kunst-, Theaterpädagogik	694.0	1002.0	8443	308.0	69.2614770459
586	Berufe im IT-Anwendungstraining	728.0	2393.0	8444	1665.0	30.4220643544
587	(Fremd-)Sprachenlehrer/innen	1897.0	2635.0	8445	738.0	71.9924098672
588	Lehrkräfte außerschul.Bild.einrich.(ssT)	1503.0	3215.0	8448	1712.0	46.7496111975
589	Führung-Außerschul.Bildungseinrichtungen	729.0	1559.0	8449	830.0	46.7607440667
590	Sportlehrer/innen (o.S.)	7104.0	15924.0	8450	8820.0	44.6119065561
591	Fahrlehrer/innen	1987.0	14823.0	8451	12836.0	13.4048438238
592	Fluglehrer/innen	17.0	305.0	8452	288.0	5.5737704918
593	Tanzlehrer/innen	1416.0	2085.0	8453	669.0	67.9136690647
594	Trainer/innen - Ballsportarten	107.0	1371.0	8454	1264.0	7.80452224654
595	Trainer/innen - Fitness und Gymnastik	7863.0	13585.0	8455	5722.0	57.8800147221
596	Sportlehrer/innen (s.s.T.)	1517.0	3198.0	8458	1681.0	47.4358974359
597	Berufe in Sprach-, Literaturwissen.(oS)	685.0	944.0	9110	259.0	72.563559322
598	Berufe in der Germanistik	89.0	116.0	9111	27.0	76.724137931
599	Berufe in der Anglistik, Amerikanistik	53.0	69.0	9112	16.0	76.8115942029
600	Berufe in der Romanistik	23.0	33.0	9113	10.0	69.696969697
601	Berufe i.d. Slawistik, verw. Bereichen	10.0	17.0	9114	7.0	58.8235294118
602	Berufe in der Arabistik, Orientalistik	8.0	15.0	9115	7.0	53.3333333333
603	Berufe Sprach-, Literaturwis. asiat.Raum	29.0	39.0	9116	10.0	74.358974359
604	Berufe in der Altphilologie	4.0	16.0	9117	12.0	25.0
605	Berufe Sprach-,Literaturwissensch. (ssT)	86.0	138.0	9118	52.0	62.3188405797
606	Berufe in Philosophie, Religion, Ethik	1525.0	2799.0	9121	1274.0	54.4837441944
607	Berufe in Geschichtswissenschaften	452.0	910.0	9122	458.0	49.6703296703
608	Berufe in der Archäologie	501.0	1196.0	9123	695.0	41.889632107
609	Berufe in Medien-, Theaterwissenschaft	1045.0	2327.0	9124	1282.0	44.9076063601
610	Berufe in der Regionalwissenschaft	179.0	296.0	9125	117.0	60.472972973
611	Berufe in der Anthropologie, Ethnologie	95.0	147.0	9126	52.0	64.6258503401
612	Berufe in der Politologie	1428.0	3090.0	9131	1662.0	46.213592233
613	Berufe in der Soziologie	1512.0	2487.0	9132	975.0	60.7961399276
614	Berufe in der Erziehungswissenschaft	28088.0	37672.0	9133	9584.0	74.5593544277
615	Berufe in der Markt-, Meinungsforschung	5962.0	12754.0	9134	6792.0	46.7461188647
616	Berufe in der Demografie	16.0	24.0	9135	8.0	66.6666666667
617	Berufe Gesellschaftswissenschaften (ssT)	936.0	1935.0	9138	999.0	48.3720930233
618	Berufe in Wirtschaftswissenschaften (oS)	3558.0	7884.0	9140	4326.0	45.1293759513
619	Berufe in Wirtschaftswissenschaften(ssT)	300.0	632.0	9148	332.0	47.4683544304
620	Berufe in Werbung und Marketing	83298.0	152370.0	9211	69072.0	54.6682417799
621	Berufe im Dialogmarketing	88510.0	147414.0	9212	58904.0	60.0417870759
622	Berufe im Kundenmanagement	41189.0	95238.0	9213	54049.0	43.2484932485
623	Führung - Werbung und Marketing	3791.0	9646.0	9219	5855.0	39.301264773
624	Berufe in der Öffentlichkeitsarbeit	15362.0	23537.0	9220	8175.0	65.267451247
625	Führung - Öffentlichkeitsarbeit	619.0	1223.0	9229	604.0	50.6132461161
626	Verlags- und Medienkaufleute (o.S.)	13162.0	20219.0	9230	7057.0	65.0971858153
627	Verlags- und Medienkaufleute (s.s.T.)	5714.0	9440.0	9238	3726.0	60.5296610169
628	Führung - Verlags- und Medienwirtschaft	577.0	1768.0	9239	1191.0	32.6357466063
629	Redakteure/innen, Journalisten/innen	36241.0	71678.0	9241	35437.0	50.5608415413
630	Lektoren/innen	2555.0	3509.0	9242	954.0	72.8127671701
631	Autoren/Autorinnen, Schriftsteller/innen	388.0	812.0	9243	424.0	47.7832512315
632	Führung - Redaktion und Journalismus	883.0	2782.0	9249	1899.0	31.7397555715
633	Berufe im Produkt- und Industriedesign	3065.0	8768.0	9310	5703.0	34.9566605839
634	Berufe in der Innenarchitektur	4031.0	5793.0	9321	1762.0	69.5839806663
635	Berufe im visuellen Marketing	7388.0	9328.0	9322	1940.0	79.2024013722
636	Berufe in der Raumausstattung	4568.0	11407.0	9323	6839.0	40.0455860437
637	Aufsicht-Innenarchitektur,Raumausstatt.	287.0	740.0	9329	453.0	38.7837837838
638	Berufe Kunsthandwerk, bildend.Kunst (oS)	2418.0	4429.0	9330	2011.0	54.5947166403
639	Berufe in der Bildhauerei	121.0	313.0	9331	192.0	38.6581469649
640	Kunstmaler/innen, Zeichner/innen	378.0	775.0	9332	397.0	48.7741935484
641	Berufe Drechslerei, Spielzeugherstellung	453.0	750.0	9333	297.0	60.4
642	Berufe im Vergolderhandwerk	104.0	158.0	9334	54.0	65.8227848101
643	Berufe in der Wachszieherei	580.0	814.0	9335	234.0	71.2530712531
644	Berufe Kunsthandwerk, bild. Kunst (ssT)	118.0	166.0	9338	48.0	71.0843373494
645	Aufsicht - Kunsthandwerk,bildende Kunst	49.0	142.0	9339	93.0	34.5070422535
646	Berufe kunsthandwerkl. Keramikgestaltung	818.0	3178.0	9341	2360.0	25.7394587791
647	Berufe kunsthand.GlasKeram,Porzellanmal.	896.0	1187.0	9342	291.0	75.4844144903
648	Berufe kunsthandwerkliche Glasbläserei	109.0	391.0	9343	282.0	27.8772378517
649	Aufsicht-Kunsthandw.Keramik,Glasgestalt.	49.0	136.0	9349	87.0	36.0294117647
650	Berufe kunsthandwerkl. Metallgestaltung	95.0	676.0	9351	581.0	14.0532544379
651	Kunsthandw.Schmuckherst.,Edelsteinbearb.	2978.0	4882.0	9352	1904.0	60.9995903318
652	Berufe in der Gravur	331.0	1228.0	9353	897.0	26.9543973941
653	Berufe Schilder-,Lichtreklameherstellung	1219.0	3560.0	9354	2341.0	34.2415730337
654	Aufsicht-Kunsthandwerkl.Metallgestaltung	216.0	533.0	9359	317.0	40.5253283302
655	Berufe im Musikinstrumentenbau (o.S.)	178.0	674.0	9360	496.0	26.409495549
656	Berufe im Streich-, Zupfinstrumentenbau	124.0	416.0	9361	292.0	29.8076923077
657	Berufe im Holzblasinstrumentenbau	98.0	333.0	9362	235.0	29.4294294294
658	Berufe im Metallblasinstrumentenbau	57.0	342.0	9363	285.0	16.6666666667
659	Berufe im Klavier- und Cembalobau	146.0	894.0	9364	748.0	16.3310961969
660	Berufe im Orgel- und Harmoniumbau	63.0	634.0	9365	571.0	9.93690851735
661	Berufe im Musikinstrumentenbau (s.s.T.)	45.0	136.0	9368	91.0	33.0882352941
662	Aufsicht - Musikinstrumentenbau	22.0	149.0	9369	127.0	14.7651006711
663	Musiker/innen	6608.0	17417.0	9411	10809.0	37.9399437331
664	Sänger/innen	2261.0	4699.0	9412	2438.0	48.1166205576
665	Dirigenten/Dirigentinnen	260.0	934.0	9413	674.0	27.8372591006
666	Komponisten/Komponistinnen	7.0	22.0	9414	15.0	31.8181818182
667	Musik-,Gesangs-, Dirigententätigk. (ssT)	185.0	521.0	9418	336.0	35.5086372361
668	Schauspieler/innen	2410.0	5469.0	9421	3059.0	44.0665569574
669	Tänzer/innen, Choreografen/innen	1348.0	2536.0	9422	1188.0	53.1545741325
670	Mannequins, Dressmen, sonstige Models	87.0	98.0	9423	11.0	88.7755102041
671	Athleten, Berufssportler	438.0	5155.0	9424	4717.0	8.49660523763
672	Berufe personenbezog. Dienstleistungen	52.0	66.0	9425	14.0	78.7878787879
673	BerufeSchauspielTanz,Bewegungskunst(ssT)	553.0	1332.0	9428	779.0	41.5165165165
674	Berufe in Moderation, Unterhaltung (oS)	195.0	406.0	9430	211.0	48.0295566502
675	Komiker/innen, Kabarettisten/innen	18.0	33.0	9431	15.0	54.5454545455
676	Zauberer/innen, Illusionisten/innen	26.0	135.0	9432	109.0	19.2592592593
677	Hörfunk-, Fernsehmoderatoren/innen	534.0	1092.0	9433	558.0	48.9010989011
678	Berufe im Bereich Glücks- und Wettspiel	1222.0	6489.0	9434	5267.0	18.8318693173
679	Berufe in Moderation, Unterhaltung (ssT)	119.0	385.0	9438	266.0	30.9090909091
680	Berufe Theater-,Film-,Fernsehproduk.(oS)	3788.0	7359.0	9440	3571.0	51.4743851067
681	Berufe in der Regie	977.0	1919.0	9441	942.0	50.9119332986
682	Berufe Theater-,Film-, Fernsehprod.(ssT)	570.0	945.0	9448	375.0	60.3174603175
683	Aufsicht,Führung-TheaterFilm,Fernsehprod	2017.0	5019.0	9449	3002.0	40.1872883044
684	Berufe Veranstaltungs- und Bühnentechnik	2243.0	17815.0	9451	15572.0	12.5905136121
685	Berufe in der Kameratechnik	607.0	3757.0	9452	3150.0	16.156507852
686	Berufe in der Bild- und Tontechnik	3203.0	12076.0	9453	8873.0	26.5236833389
687	Berufe Veranstalt.-Kamera-,Tontech.(ssT)	17.0	295.0	9458	278.0	5.76271186441
688	Aufsicht-Veranstaltungs-Kamera-,Tontech.	477.0	2477.0	9459	2000.0	19.2571659265
689	Berufe i.d. Bühnen- und Kostümbildnerei	2318.0	3266.0	9461	948.0	70.9736680955
690	Berufe in der Requisite	2036.0	3143.0	9462	1107.0	64.7788736876
691	Aufsicht-Bühnen-,Kostümbildn.,Requisite	43.0	150.0	9469	107.0	28.6666666667
692	Museumsberufe (o.S.)	1805.0	2681.0	9470	876.0	67.3256247669
693	Berufe Museums- und Ausstellungstechnik	2461.0	5413.0	9471	2952.0	45.4646222058
694	Kunstsachverständige	116.0	235.0	9472	119.0	49.3617021277
695	Führung - Museum	717.0	1407.0	9479	690.0	50.9594882729
